veh_class,proportion,Year
van,0.09249676584734799,2000
large car,0.031047865459249677,2000
station wagon,0.04463130659767141,2000
special purpose,0.018111254851228976,2000
small car,0.25485122897800777,2000
pickup,0.22639068564036222,2000
minivan,0.03428201811125485,2000
SUV,0.1888745148771022,2000
midsize car,0.1093143596377749,2000
pickup,0.21313868613138687,2001
small car,0.2686131386861314,2001
special purpose,0.015328467153284672,2001
station wagon,0.052554744525547446,2001
large car,0.02846715328467153,2001
SUV,0.17883211678832117,2001
van,0.12481751824817518,2001
midsize car,0.0905109489051095,2001
minivan,0.027737226277372264,2001
special purpose,0.008778346744696415,2002
station wagon,0.0548646671543526,2002
midsize car,0.08705193855157278,2002
minivan,0.029992684711046085,2002
large car,0.027798098024871983,2002
small car,0.2618873445501097,2002
pickup,0.19751280175566935,2002
SUV,0.2143379663496708,2002
van,0.11777615215801024,2002
van,0.12598904443091904,2003
small car,0.2507608034083993,2003
pickup,0.22519780888618382,2003
special purpose,0.004869141813755326,2003
station wagon,0.06086427267194157,2003
SUV,0.21485088253195375,2003
minivan,0.01704199634814364,2003
large car,0.027388922702373707,2003
midsize car,0.07303712720632989,2003
pickup,0.15457562825983878,2004
van,0.051209103840682786,2004
minivan,0.023233760075865337,2004
midsize car,0.11569464201043149,2004
special purpose,0.001422475106685633,2004
SUV,0.21337126600284495,2004
small car,0.3138928402086297,2004
large car,0.04551920341394026,2004
station wagon,0.08108108108108109,2004
van,0.06997929606625258,2005
station wagon,0.0629399585921325,2005
large car,0.04472049689440994,2005
SUV,0.24513457556935817,2005
special purpose,0.014492753623188406,2005
pickup,0.1722567287784679,2005
minivan,0.02650103519668737,2005
small car,0.2745341614906832,2005
midsize car,0.08944099378881988,2005
large car,0.06652719665271967,2006
midsize car,0.11255230125523012,2006
SUV,0.24728033472803349,2006
minivan,0.02384937238493724,2006
small car,0.26359832635983266,2006
pickup,0.16736401673640167,2006
station wagon,0.06317991631799164,2006
van,0.04602510460251046,2006
special purpose,0.009623430962343096,2006
minivan,0.013953488372093023,2007
pickup,0.2189624329159213,2007
small car,0.25116279069767444,2007
large car,0.047942754919499106,2007
SUV,0.2372093023255814,2007
special purpose,0.00966010733452594,2007
van,0.062254025044722716,2007
station wagon,0.05688729874776386,2007
midsize car,0.10196779964221825,2007
special purpose,0.008319467554076539,2008
station wagon,0.05116472545757072,2008
minivan,0.015391014975041598,2008
midsize car,0.11480865224625623,2008
SUV,0.26955074875207985,2008
large car,0.05366056572379368,2008
van,0.05366056572379368,2008
pickup,0.14559068219633944,2008
small car,0.2878535773710483,2008
minivan,0.012495119094103866,2009
small car,0.3170636470128856,2009
special purpose,0.012885591565794611,2009
van,0.031237797735259663,2009
station wagon,0.06794221007418977,2009
large car,0.05232331120655994,2009
SUV,0.26122608356110893,2009
midsize car,0.10425614994142914,2009
pickup,0.1405700898086685,2009
station wagon,0.06921754084264832,2010
large car,0.055460017196904556,2010
van,0.024935511607910577,2010
small car,0.352536543422184,2010
midsize car,0.12166809974204643,2010
pickup,0.10361134995700774,2010
minivan,0.013327601031814273,2010
SUV,0.24333619948409285,2010
special purpose,0.01590713671539123,2010
midsize car,0.12022109626900046,2011
small car,0.3390142791340396,2011
special purpose,0.016121602947950252,2011
van,0.03408567480423768,2011
large car,0.060340856748042376,2011
station wagon,0.06448641179180101,2011
SUV,0.254721326577614,2011
minivan,0.010133578995854445,2011
pickup,0.10087517273146016,2011
SUV,0.22291296625222023,2012
small car,0.3814387211367673,2012
midsize car,0.12300177619893428,2012
van,0.03641207815275311,2012
pickup,0.08836589698046181,2012
large car,0.0674955595026643,2012
special purpose,0.015985790408525755,2012
station wagon,0.05772646536412078,2012
minivan,0.0066607460035523975,2012
station wagon,0.04338756779307468,2013
van,0.03504380475594493,2013
standard SUV,0.08176887776387151,2013
pickup,0.08468919482686692,2013
minivan,0.008760951188986232,2013
small car,0.3708802670004172,2013
small SUV,0.1410095953274927,2013
midsize car,0.15060492282019192,2013
large car,0.06633291614518148,2013
special purpose,0.017521902377972465,2013
minivan,0.00834326579261025,2014
small SUV,0.1319030591974573,2014
pickup,0.06793802145411204,2014
van,0.04092173222089789,2014
station wagon,0.03257846642828764,2014
large car,0.07707588398887565,2014
midsize car,0.17044100119189512,2014
standard SUV,0.08541914978148589,2014
special purpose,0.027016289233214145,2014
small car,0.3583631307111641,2014
large car,0.07990953637391632,2015
midsize car,0.15001884658876743,2015
small SUV,0.1356954391255183,2015
small car,0.3573313230305315,2015
van,0.04297022238974746,2015
pickup,0.07199396909159442,2015
special purpose,0.04146249528835281,2015
standard SUV,0.07953260459856766,2015
minivan,0.008292499057670561,2015
station wagon,0.03279306445533359,2015
standard SUV,0.0996523754345307,2016
small car,0.3595983005021244,2016
minivan,0.008497489378138278,2016
midsize car,0.16879103901120124,2016
station wagon,0.03630745461568173,2016
small SUV,0.1560448049439938,2016
pickup,0.06411741985322518,2016
van,0.004634994206257242,2016
special purpose,0.015063731170336037,2016
large car,0.08729239088451139,2016
pickup,0.07184241019698726,2017
small car,0.33449208188489765,2017
small SUV,0.16029354963306297,2017
midsize car,0.16029354963306297,2017
standard SUV,0.10544611819235226,2017
van,0.004634994206257242,2017
minivan,0.009269988412514484,2017
station wagon,0.04519119351100811,2017
large car,0.09501738122827347,2017
special purpose,0.013518733101583623,2017
station wagon,0.04201990416513085,2018
minivan,0.008477699963140435,2018
large car,0.10246959085882787,2018
van,0.0018429782528566164,2018
small SUV,0.17213416881680796,2018
midsize car,0.16255068190195357,2018
standard SUV,0.10246959085882787,2018
small car,0.3144120899373387,2018
pickup,0.07961666052340582,2018
special purpose,0.014006634721710284,2018
midsize car,0.16022304832713755,2019
special purpose,0.021189591078066915,2019
large car,0.09182156133828996,2019
station wagon,0.038661710037174724,2019
