,Year,count_models,count_models_standard
0,2000,319,0.0
1,2001,361,0.0726643598615917
2,2002,375,0.09688581314878893
3,2003,396,0.13321799307958476
4,2004,396,0.13321799307958476
5,2005,423,0.17993079584775087
6,2006,428,0.18858131487889274
7,2007,447,0.22145328719723184
8,2008,436,0.20242214532871972
9,2009,473,0.2664359861591695
10,2010,495,0.3044982698961938
11,2011,507,0.32525951557093424
12,2012,520,0.3477508650519031
13,2013,547,0.3944636678200692
14,2014,587,0.46366782006920415
15,2015,629,0.5363321799307958
16,2016,607,0.4982698961937716
17,2017,634,0.5449826989619377
18,2018,652,0.5761245674740484
19,2019,674,0.6141868512110726
20,2020,702,0.6626297577854672
21,2021,719,0.6920415224913494
22,2022,759,0.7612456747404844
23,2023,881,0.972318339100346
24,2024,897,1.0
25,2025,880,0.9705882352941176
