Year,greenhouse_score
2000,4.647570703408267
2001,4.686454849498328
2002,4.614876033057851
2003,4.479226361031519
2004,5.067447045707915
2005,5.054951033732317
2006,4.988977955911824
2007,4.993744414655943
2008,5.124824684431977
2009,4.695006747638327
2010,5.0290211510083624
2011,4.194847020933977
2012,4.267848586487782
2013,5.490677580718509
2014,5.508563899868248
2015,5.501930501930502
2016,5.366471734892787
2017,5.04673619157976
2018,4.830446000737191
2019,4.894795539033457
2020,4.893123772102161
2021,4.8294663573085845
2022,5.1328511610201755
2023,5.427789934354486
2024,5.820152091254752
2025,6.254815409309791
