,Year,percent_electric,percent_electric_standard
0,2000,0.0,0.0
1,2001,0.0,0.0
2,2002,0.0,0.0
3,2003,0.0,0.0
4,2004,0.0,0.0
5,2005,0.0,0.0
6,2006,0.0,0.0
7,2007,0.0,0.0
8,2008,0.0,0.0
9,2009,0.0,0.0
10,2010,0.0,0.0
11,2011,0.0055274067250115,0.017591695477303524
12,2012,0.0075488454706927,0.024025188905448545
13,2013,0.013767209011264,0.04381594489919526
14,2014,0.0190703218116805,0.06069379559988226
15,2015,0.021108179419525,0.06717954420620217
16,2016,0.0363074546156817,0.1155532272059755
17,2017,0.0370799536500579,0.11801180650823027
18,2018,0.0427570954662735,0.13608005351462782
19,2019,0.0505576208178438,0.1609062465875693
20,2020,0.0632612966601178,0.2013373579527632
21,2021,0.0815931941221964,0.25968102139529176
22,2022,0.103540159878188,0.329530112920108
23,2023,0.1754194018964259,0.5582952101224692
24,2024,0.2463878326996197,0.7841615314015994
25,2025,0.3142054574638844,1.0
